Video Title,Video Link,Status
Can you guess the most polluted city?  || #shorts #didyouknow,https://www.youtube.com/watch?v=ZlpMtzrUhns,Red
Tired of pollution? Krrish Chawla&#39;s Breathify is an affordable and effective solution! #OMGIndia,https://www.youtube.com/watch?v=_WHjcQYPS2o,None
India’s capital named most polluted city in the world for the fourth year running,https://www.youtube.com/watch?v=PH-HBcR-B0Q,Red
Ola Electric Scooter Pollution Certificate #shorts #viral,https://www.youtube.com/watch?v=ZGLhOOehT8U,Red
POLLUTION #pollution || WHAT IS POLLUTION#shorts#viral#pollutants#waterpollution#airpollution,https://www.youtube.com/watch?v=RWzaqWeztAA,Red
This start-up puts an end to air pollution. #OMGIndia #OMGSeason9 #shorts #ytshorts,https://www.youtube.com/watch?v=Uz5IBh-p4AI,Red
Unmasking the price of air pollution. #delhi #mumbai #airpollution #health #explore #shortsfeed,https://www.youtube.com/watch?v=LdXgC6dBkxU,Red
कैसे Pollution करता है Liver को ख़राब? | Dr. A.S. Soin #liver #pollution #shorts,https://www.youtube.com/watch?v=4MCtJfG_JnE,Green
Types of Pollution | padhai.com #shorts,https://www.youtube.com/watch?v=GNV_Cctb-k4,Red
pollution in Delhi | AQI208 |#dangerous #ytshorts @rajnidhankhervlogs,https://www.youtube.com/watch?v=Zr0sQ2uzJ74,None
